Feature,Importance
total_error_count,0.17625669345560646
any_critical_error,0.12291561781787165
error_per_gb,0.12201456634833274
smart_197_raw,0.06921633452685229
smart_9_raw,0.06920073609585836
smart_5_raw,0.06500605207908466
smart_193_raw,0.056557166591037
smart_3_raw,0.0548893678407038
smart_192_raw,0.04428151728569385
smart_12_raw,0.040768706593752466
smart_4_raw,0.03873828957660554
capacity_gigabytes,0.02544215039384623
smart_198_raw,0.024142425567928213
smart_187_raw,0.0229019476707676
smart_191_raw,0.020080203989693315
smart_1_raw,0.01943835407136457
smart_7_raw,0.01804078239467959
smart_188_raw,0.009909241963767834
is_ssd,0.0001998457365538462
